,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,SALE_COND
60,2,934,1.0,1.0,3,1,0,1,1,5,9710900,4
61,0,1691,2.0,2.0,4,0,0,1,2,5,9398750,2
62,0,1236,1.0,1.0,3,0,2,2,1,2,8806250,3
63,6,1577,1.0,1.0,4,1,1,1,1,3,12087330,0
64,5,1915,2.0,1.0,5,1,1,1,2,3,14175620,0
65,5,1600,1.0,1.0,4,1,0,0,2,3,11920820,1
66,3,1579,2.0,1.0,4,1,2,0,1,2,13364730,2
67,1,1260,2.0,2.0,4,0,1,1,0,0,6922975,0
68,1,1021,1.0,1.0,3,0,2,1,1,2,11673175,3
69,4,2174,3.0,2.0,5,1,1,3,1,5,13069740,1
70,5,1589,1.0,1.0,4,0,1,3,2,4,12212350,0
71,1,668,1.0,1.0,2,1,2,1,2,2,10283575,2
72,3,1724,2.0,1.0,4,1,0,0,0,4,8956480,2
73,1,890,1.0,1.0,3,1,0,2,1,1,7187350,2
74,1,1218,2.0,2.0,4,0,2,3,0,2,12574850,3
75,5,1792,1.0,1.0,4,1,0,0,2,5,13906270,1
76,0,1378,2.0,2.0,4,0,1,2,2,5,9917500,4
77,0,898,1.0,1.0,3,1,2,2,1,3,8629750,0
78,5,1928,2.0,1.0,5,0,0,3,0,3,11667050,0
79,2,1233,2.0,1.0,4,0,0,1,2,5,9817150,2
80,3,1618,2.0,1.0,4,1,1,2,1,1,9263050,4
81,0,627,1.0,1.0,2,0,0,2,2,5,6587500,1
82,3,1563,2.0,1.0,4,0,0,1,2,5,9799360,1
83,0,1693,2.0,2.0,4,1,2,2,2,1,12801500,3
84,6,1522,1.0,1.0,4,0,2,3,2,4,17454510,0
85,1,1090,1.0,1.0,3,1,1,1,2,3,9832420,0
86,2,1085,1.0,1.0,3,1,2,2,2,4,14363500,2
87,6,1687,1.0,1.0,4,0,1,2,1,3,12476770,2
88,1,692,1.0,1.0,2,1,2,3,1,3,10381355,3
89,6,1518,1.0,1.0,4,1,2,3,1,3,17600240,1
90,1,1025,1.0,1.0,3,0,2,1,1,2,10934875,0
91,4,2170,3.0,2.0,5,1,0,2,2,4,12372160,1
92,2,969,1.0,1.0,3,1,2,0,0,3,11248750,1
93,4,1546,2.0,1.0,4,0,2,3,2,5,14241140,2
94,4,1709,2.0,1.0,4,1,0,1,1,4,10160600,2
95,6,1659,1.0,1.0,4,1,1,1,0,4,13539080,4
96,2,755,1.0,1.0,2,0,2,0,2,5,10727750,3
97,1,1182,1.0,1.0,3,1,0,3,0,4,9867055,3
98,1,735,1.0,1.0,2,0,2,1,0,3,9478710,4
99,2,1089,1.0,1.0,3,1,0,0,1,4,9050200,3
100,3,1534,2.0,1.0,4,1,1,0,1,1,7904210,0
101,5,1622,1.0,1.0,4,1,0,0,2,4,13063450,1
102,4,2198,3.0,2.0,5,1,1,2,2,5,13584980,0
103,2,1293,2.0,1.0,4,0,2,0,0,4,13116050,3
104,4,1641,2.0,1.0,4,0,1,3,2,4,10012600,0
105,3,1950,3.0,2.0,5,1,1,1,1,4,12105920,4
106,0,1245,1.0,1.0,3,0,1,1,1,0,4918375,0
107,2,905,1.0,1.0,3,0,1,0,2,3,7703200,1
108,4,1496,2.0,1.0,4,0,0,2,2,3,8569080,1
109,3,1892,3.0,2.0,5,1,0,0,2,5,12146620,4
110,3,1517,2.0,1.0,4,0,2,0,1,1,11671620,1
111,1,1034,1.0,1.0,3,1,1,0,2,1,9256740,4
112,3,1755,2.0,1.0,4,1,2,2,2,2,14915900,1
113,5,1622,1.0,1.0,4,1,0,1,1,5,13547790,4
114,2,1092,1.0,1.0,3,0,1,3,0,3,8213040,3
115,2,821,1.0,1.0,3,0,0,1,1,3,7304000,4
116,4,1694,2.0,1.0,4,0,1,1,2,4,10390900,1
117,5,1809,2.0,1.0,5,0,2,3,0,4,19206870,1
118,0,1401,2.0,2.0,4,1,1,3,2,4,9965375,0
119,0,1470,2.0,2.0,4,0,1,2,0,3,7207000,2
120,2,798,1.0,1.0,2,0,2,2,1,3,9070550,0
121,2,764,1.0,1.0,2,0,0,0,0,3,5670200,0
122,2,1135,1.0,1.0,3,0,1,2,0,5,9253200,2
123,0,939,1.0,1.0,3,0,0,0,0,2,4294000,2
124,0,1586,2.0,2.0,4,1,2,2,2,5,14316000,3
125,6,1973,2.0,1.0,5,1,2,3,2,5,23307000,1
126,2,1023,1.0,1.0,3,1,0,3,1,5,9735150,0
127,2,884,1.0,1.0,3,0,2,2,0,5,11336400,3
128,5,1640,1.0,1.0,4,0,2,0,0,3,17701600,4
129,1,622,1.0,1.0,2,0,1,0,0,4,6572900,3
130,5,1880,2.0,1.0,5,1,0,1,0,5,13423020,0
131,4,2413,4.0,2.0,6,0,1,1,1,5,13122040,2
132,6,1649,1.0,1.0,4,0,2,3,2,3,18939100,4
133,3,1729,2.0,1.0,4,1,2,2,1,0,12803570,0
134,6,1942,2.0,1.0,5,0,0,1,2,3,12330740,1
135,2,711,1.0,1.0,2,1,1,1,0,4,8050270,4
136,2,885,1.0,1.0,3,0,0,0,0,5,7194600,1
137,4,1688,2.0,1.0,4,1,0,2,2,5,11412700,2
138,1,1236,2.0,2.0,4,0,2,0,2,0,12035355,1
139,0,926,1.0,1.0,3,0,0,0,2,4,6877000,1
140,4,1686,2.0,1.0,4,0,1,1,1,5,10346400,2
141,0,1344,2.0,2.0,4,0,2,2,2,3,10809500,4
142,4,1437,2.0,1.0,4,0,1,3,2,5,10200600,1
143,0,1430,2.0,2.0,4,1,1,2,0,0,6635750,2
144,1,1081,1.0,1.0,3,0,0,3,0,1,6190150,1
145,0,1352,2.0,2.0,4,1,0,0,2,0,6507250,3
146,4,1986,3.0,2.0,5,0,0,3,2,5,11350400,3
147,5,1758,1.0,1.0,4,1,2,3,0,4,19285540,0
148,0,607,1.0,1.0,2,0,1,1,2,4,5856625,3
149,4,2139,3.0,2.0,5,1,1,2,1,4,12472000,3
150,4,1488,2.0,1.0,4,0,1,3,1,3,8441900,0
151,3,1645,2.0,1.0,4,0,0,1,0,3,7579320,0
152,2,950,1.0,1.0,3,1,1,1,2,4,9759000,3
153,2,928,1.0,1.0,3,1,2,3,2,3,12423800,0
154,3,1693,2.0,1.0,4,1,2,2,1,5,15495760,3
155,3,1873,3.0,2.0,5,1,1,0,0,4,11022270,1
156,1,721,1.0,1.0,2,0,1,1,1,4,7605550,0
157,0,1190,1.0,1.0,3,1,0,2,2,3,7967750,1
158,4,1593,2.0,1.0,4,0,1,3,1,3,8946800,0
159,2,786,1.0,1.0,2,1,1,0,2,4,9244820,2
160,2,1195,1.0,1.0,3,0,1,1,1,4,9821600,4
161,3,1824,3.0,2.0,5,0,0,2,1,2,8549060,3
162,4,1906,3.0,2.0,5,1,2,1,1,3,15852740,2
163,1,656,1.0,1.0,2,0,2,3,1,2,8757635,2
164,2,727,1.0,1.0,2,0,1,0,2,5,8415990,2
165,1,931,1.0,1.0,3,1,1,0,1,5,9935595,1
166,3,1898,3.0,2.0,5,1,2,0,0,5,16617860,4
167,5,1698,1.0,1.0,4,0,0,1,2,5,12412050,1
168,6,1926,2.0,1.0,5,1,2,2,0,5,22630540,4
169,0,1481,2.0,2.0,4,1,2,3,1,0,9901500,0
170,5,1506,1.0,1.0,4,0,0,0,0,5,10449910,1
171,2,1020,1.0,1.0,3,0,0,1,0,5,7948600,1
172,2,889,1.0,1.0,3,0,1,0,2,5,9098680,2
173,2,1015,1.0,1.0,3,1,0,3,1,3,8342850,1
174,6,1682,1.0,1.0,4,0,2,3,2,3,18662350,2
175,2,869,1.0,1.0,3,0,1,2,0,5,8172630,1
176,0,1445,2.0,2.0,4,0,0,1,0,2,5856500,1
177,5,1919,2.0,1.0,5,1,0,1,2,5,14704160,0
178,1,1243,2.0,2.0,4,1,2,1,1,1,13360440,3
179,0,857,1.0,1.0,2,0,0,0,1,2,4928250,3
180,0,1055,1.0,1.0,3,1,1,1,2,2,7315125,4
181,4,1778,3.0,2.0,5,0,1,2,2,4,10998320,1
182,0,851,1.0,1.0,2,0,1,0,1,0,3936375,4
183,2,1021,1.0,1.0,3,1,1,2,0,4,9201770,0
184,4,2203,3.0,2.0,5,1,2,2,1,4,17891240,2
185,0,613,1.0,1.0,2,0,2,2,0,2,5144500,1
186,1,738,1.0,1.0,2,0,2,2,0,2,8312670,0
187,0,1489,2.0,2.0,4,0,0,0,2,3,8007250,4
188,0,795,1.0,1.0,2,1,0,2,2,5,8479250,2
189,3,1909,3.0,2.0,5,1,1,3,2,0,10129160,1
190,2,1252,2.0,1.0,4,0,0,3,0,5,9482200,1
191,0,1077,1.0,1.0,3,0,2,0,1,5,9846750,2
192,4,1524,2.0,1.0,4,0,1,2,1,3,8675820,3
193,2,1049,1.0,1.0,3,1,0,0,2,5,10262450,0
194,3,1780,2.0,1.0,4,0,1,3,2,1,8671050,2
195,2,946,1.0,1.0,3,0,2,0,0,4,11165550,4
196,2,906,1.0,1.0,3,1,0,2,2,5,9464800,0
197,4,2344,4.0,2.0,6,0,2,1,2,5,18849880,2
198,1,929,1.0,1.0,3,1,1,1,1,3,9480425,4
199,5,1843,2.0,1.0,5,0,0,0,0,4,12264750,4
200,5,1918,2.0,1.0,5,1,2,3,2,4,21875050,0
201,4,1507,2.0,1.0,4,1,2,3,1,3,13538580,3
202,4,1499,2.0,1.0,4,0,0,3,2,3,8876320,1
203,4,1526,2.0,1.0,4,1,2,3,1,3,13645040,3
204,5,1855,2.0,1.0,5,1,2,2,1,3,20996200,2
205,0,1627,2.0,2.0,4,1,1,0,1,3,9071125,3
206,3,1846,3.0,2.0,5,0,0,3,2,5,10815830,2
207,4,2019,3.0,2.0,5,1,1,2,1,5,12802500,2
208,0,1578,2.0,2.0,4,1,1,3,2,2,9532500,3
209,3,1780,2.0,1.0,4,1,2,1,0,1,13346700,1
210,0,662,1.0,1.0,2,0,2,1,0,1,4356500,0
211,2,1005,1.0,1.0,3,0,2,2,2,4,12257100,1
212,0,839,1.0,1.0,2,0,0,1,1,1,4100500,0
213,5,1698,1.0,1.0,4,0,0,3,0,5,11527430,0
214,1,878,1.0,1.0,3,1,0,2,1,0,6452785,0
215,2,835,1.0,1.0,3,1,0,0,1,5,8434750,0
216,2,911,1.0,1.0,3,1,1,0,0,3,7427820,0
217,3,1796,2.0,1.0,4,1,0,0,0,3,9105350,4
218,0,1004,1.0,1.0,3,0,1,0,0,1,4721500,4
219,5,1694,1.0,1.0,4,0,1,1,1,4,12575010,3
220,0,1244,1.0,1.0,3,1,1,3,2,2,7952750,2
221,0,588,1.0,1.0,2,0,1,3,1,4,5705500,0
222,4,2342,4.0,2.0,6,1,0,2,1,4,12898740,4
223,3,1835,3.0,2.0,5,0,1,3,1,4,10722580,3
224,5,1977,2.0,1.0,5,1,0,3,2,4,14102960,0
225,4,1961,3.0,2.0,5,1,2,1,2,5,17612900,2
226,3,1517,2.0,1.0,4,1,0,2,0,0,7146890,3
227,4,2409,4.0,2.0,6,1,1,1,2,4,13476480,0
228,3,1864,3.0,2.0,5,0,2,0,2,3,15100560,0
229,3,1643,2.0,1.0,4,1,2,3,1,5,15599020,1
230,1,1015,1.0,1.0,3,1,2,2,0,1,11224620,1
231,5,1700,1.0,1.0,4,1,1,2,0,3,12477040,3
232,0,624,1.0,1.0,2,0,2,0,0,1,4396250,1
233,2,980,1.0,1.0,3,0,2,2,1,4,11900750,3
234,0,1003,1.0,1.0,3,1,2,1,2,3,10090000,2
235,1,1072,1.0,1.0,3,1,0,1,0,0,6607690,1
236,0,808,1.0,1.0,2,0,0,1,2,1,4752250,4
237,2,1027,1.0,1.0,3,0,0,0,1,3,7441350,3
238,0,696,1.0,1.0,2,0,0,1,2,4,6441250,3
239,3,1716,2.0,1.0,4,1,0,0,1,4,10359860,1
240,3,1878,3.0,2.0,5,0,2,3,1,1,14328720,1
241,4,1699,2.0,1.0,4,1,1,1,2,4,11444100,3
242,4,1626,2.0,1.0,4,0,0,3,1,5,9680280,2
243,4,1730,2.0,1.0,4,0,2,2,2,4,14739360,3
244,2,996,1.0,1.0,3,0,1,0,2,4,8939620,1
245,2,1277,2.0,1.0,4,1,2,3,0,5,15710400,4
246,2,906,1.0,1.0,3,0,2,1,1,3,10226600,3
247,5,1976,2.0,1.0,5,0,0,1,1,4,12300050,0
248,3,1776,2.0,1.0,4,1,0,1,1,3,9989170,3
249,0,1402,2.0,2.0,4,0,0,1,2,2,6966500,3
250,2,1160,1.0,1.0,3,1,1,3,0,3,9463900,4
251,3,1957,3.0,2.0,5,1,2,0,0,2,15199450,3
252,6,1887,2.0,1.0,5,0,2,2,0,4,20499450,4
253,3,1859,3.0,2.0,5,1,0,0,1,3,9925210,3
254,2,747,1.0,1.0,2,1,2,3,0,5,11223550,1
255,1,985,1.0,1.0,3,1,0,1,1,1,7379505,0
256,2,1024,1.0,1.0,3,1,2,3,0,3,12091400,3
257,3,1600,2.0,1.0,4,1,1,0,1,4,10530200,1
258,2,1276,2.0,1.0,4,0,1,1,1,4,9604120,3
259,2,1159,1.0,1.0,3,1,0,0,2,3,9062800,1
260,0,1024,1.0,1.0,3,1,0,1,0,1,4748500,2
261,1,1249,2.0,2.0,4,0,2,2,1,0,12642285,4
262,2,839,1.0,1.0,3,1,1,3,2,3,9107430,3
263,2,1286,2.0,1.0,4,0,0,3,0,5,9153300,2
264,4,2467,4.0,2.0,6,0,0,3,2,4,12650920,4
265,0,653,1.0,1.0,2,0,2,0,0,5,7635250,4
266,0,606,1.0,1.0,2,1,1,1,2,5,7854000,1
267,6,1837,2.0,1.0,5,1,0,0,0,4,13197230,4
268,3,1880,3.0,2.0,5,1,2,1,0,1,13669670,1
269,4,2189,3.0,2.0,5,1,2,3,2,3,18249860,4
270,3,1853,3.0,2.0,5,1,2,2,1,1,14707330,4
271,2,1057,1.0,1.0,3,0,1,3,1,4,9144840,3
272,1,723,1.0,1.0,2,0,2,0,2,5,10969920,1
273,6,1812,2.0,1.0,5,0,1,0,0,4,12248640,1
274,6,1788,1.0,1.0,4,1,1,0,0,4,14225180,4
275,3,1615,2.0,1.0,4,0,0,0,1,2,8019280,2
276,5,1755,1.0,1.0,4,0,0,2,0,4,11410310,4
277,1,1296,2.0,2.0,4,0,0,3,0,5,9950600,1
278,4,1554,2.0,1.0,4,1,0,1,1,4,9980320,2
279,5,1737,1.0,1.0,4,1,0,3,2,4,14292780,4
280,0,785,1.0,1.0,2,1,1,3,0,2,5752875,1
281,0,1678,2.0,2.0,4,1,2,1,2,1,11883250,0
282,4,2360,4.0,2.0,6,1,2,2,1,5,19816180,3
283,4,1464,2.0,1.0,4,1,1,2,1,3,9394640,1
284,4,1632,2.0,1.0,4,1,1,3,2,3,10506420,0
285,3,1755,2.0,1.0,4,1,1,0,0,1,8762820,2
286,3,1556,2.0,1.0,4,0,1,1,1,4,9348100,0
287,1,1170,1.0,1.0,3,0,0,1,2,3,9134740,4
288,1,901,1.0,1.0,3,0,1,3,2,2,7643255,0
289,0,1160,1.0,1.0,3,1,2,1,2,0,8886250,0
290,0,1570,2.0,2.0,4,1,0,2,0,0,6407000,1
291,0,1476,2.0,2.0,4,0,2,2,1,4,11536000,2
292,0,586,1.0,1.0,2,1,1,0,1,2,5333000,1
293,0,1059,1.0,1.0,3,1,0,3,1,4,7849250,3
294,6,1712,1.0,1.0,4,1,0,2,2,4,13797720,2
295,1,847,1.0,1.0,3,0,1,1,2,3,7492300,0
296,0,1192,1.0,1.0,3,0,0,2,0,2,5342250,1
297,3,1942,3.0,2.0,5,1,2,3,0,4,16212650,0
298,0,557,1.0,1.0,2,1,1,0,0,2,4710125,1
299,3,1728,2.0,1.0,4,1,2,0,2,2,14898480,3
300,3,1798,2.0,1.0,4,1,2,3,2,5,17060380,1
301,0,1497,2.0,2.0,4,1,0,3,2,0,6931750,0
302,2,1173,1.0,1.0,3,1,0,1,0,3,8196400,3
303,5,1640,1.0,1.0,4,1,2,2,0,3,17704670,0
304,4,1747,2.0,1.0,4,1,1,1,1,4,10784680,0
305,0,1342,2.0,2.0,4,1,2,0,0,2,9594250,2
306,6,2000,2.0,1.0,5,0,0,2,0,5,13596890,4
307,3,1987,3.0,2.0,5,0,1,1,2,3,11156320,1
308,0,1567,2.0,2.0,4,0,1,3,2,1,7725875,1
309,0,1188,1.0,1.0,3,0,2,3,0,5,9819500,0
310,1,737,1.0,1.0,2,0,0,2,0,0,3869180,1
311,0,785,1.0,1.0,2,1,1,1,1,1,5852625,4
312,4,2078,3.0,2.0,5,0,0,1,1,3,9696820,2
313,1,647,1.0,1.0,2,1,2,3,0,3,9574550,1
314,0,1171,1.0,1.0,3,1,1,3,0,0,6102625,4
315,4,2435,4.0,2.0,6,1,2,2,2,5,20246360,0
316,3,1805,3.0,2.0,5,1,2,3,1,4,16930470,4
317,0,1145,1.0,1.0,3,0,0,3,2,0,5510250,3
318,0,971,1.0,1.0,3,0,0,3,1,4,6530500,3
319,0,1657,2.0,2.0,4,1,1,1,2,4,10147125,2
320,3,1638,2.0,1.0,4,1,0,2,0,3,9705900,4
321,1,1284,2.0,2.0,4,1,2,0,1,4,16107475,3
322,1,1273,2.0,2.0,4,0,1,0,0,0,7451690,2
323,2,1185,1.0,1.0,3,1,0,0,2,4,10163000,3
324,6,1538,1.0,1.0,4,1,2,2,2,4,19376950,1
325,4,1929,3.0,2.0,5,0,1,3,1,3,10173980,3
326,4,1656,2.0,1.0,4,1,0,2,1,5,10910100,2
327,1,1287,2.0,2.0,4,1,2,1,2,2,15013625,1
328,6,1749,1.0,1.0,4,0,1,1,0,3,11713410,2
329,5,1585,1.0,1.0,4,0,2,3,0,4,17382790,1
330,6,1962,2.0,1.0,5,1,1,2,1,5,15862990,3
331,4,1425,2.0,1.0,4,0,0,2,1,4,8677280,3
332,0,884,1.0,1.0,2,1,2,2,1,2,8282500,3
333,2,1052,1.0,1.0,3,0,1,2,0,3,7926740,3
334,6,1756,1.0,1.0,4,0,0,1,2,4,12093570,0
335,0,523,1.0,1.0,2,1,0,3,2,5,7390000,2
336,3,1524,2.0,1.0,4,1,1,2,1,5,11053290,1
337,6,1949,2.0,1.0,5,1,1,2,0,5,14464930,0
338,2,1263,2.0,1.0,4,0,1,1,2,4,10637010,4
339,4,1917,3.0,2.0,5,1,0,3,1,4,11045960,1
340,4,1401,2.0,1.0,4,0,0,1,1,3,7410200,0
341,2,723,1.0,1.0,2,0,1,3,2,5,8645860,1
342,6,1660,1.0,1.0,4,0,2,1,1,3,17787740,3
343,2,895,1.0,1.0,3,1,0,0,2,3,8514750,0
344,5,1889,2.0,1.0,5,1,0,0,2,5,13841050,0
345,2,1199,1.0,1.0,3,0,1,2,1,3,9160580,4
346,0,782,1.0,1.0,2,1,2,3,0,2,7794500,4
347,5,1571,1.0,1.0,4,1,1,2,1,4,12946530,0
348,4,1848,3.0,2.0,5,1,2,2,1,4,15883280,3
349,2,1131,1.0,1.0,3,1,1,2,0,4,10089670,4
350,0,1062,1.0,1.0,3,1,0,3,0,0,5335750,4
351,4,1983,3.0,2.0,5,1,0,3,1,5,12126880,4
352,3,1572,2.0,1.0,4,0,0,2,2,1,8165450,4
353,5,1535,1.0,1.0,4,0,1,0,2,3,11484740,1
354,6,1818,2.0,1.0,5,1,2,1,2,5,22024740,3
355,4,1484,2.0,1.0,4,1,1,2,2,3,9771020,0
356,4,2189,3.0,2.0,5,0,1,2,2,3,12071880,4
357,2,1203,2.0,1.0,4,0,2,3,0,4,12925550,0
358,4,1610,2.0,1.0,4,1,2,3,2,5,15387480,0
359,1,863,1.0,1.0,3,1,0,1,1,0,6637005,2
360,0,985,1.0,1.0,3,0,1,3,2,4,7446875,0
361,0,1623,2.0,2.0,4,0,2,3,1,3,11658500,2
362,1,1019,1.0,1.0,3,0,0,0,2,1,6663435,0
363,0,1575,2.0,2.0,4,1,0,1,1,5,9894250,1
364,2,802,1.0,1.0,3,0,1,1,0,5,7968490,2
365,6,1846,2.0,1.0,5,0,1,2,0,3,12403760,3
366,2,759,1.0,1.0,2,0,1,3,1,4,8149280,4
367,4,2060,3.0,2.0,5,0,2,2,1,4,16012600,2
368,4,1503,2.0,1.0,4,1,1,1,2,5,11121040,0
369,3,1853,3.0,2.0,5,1,0,1,0,4,9462230,0
370,6,1739,1.0,1.0,4,1,2,1,1,4,20477590,4
371,0,766,1.0,1.0,2,1,2,1,1,5,8755500,1
372,2,857,1.0,1.0,3,1,1,3,0,4,8471590,2
373,6,1887,2.0,1.0,5,0,0,0,2,5,13024030,0
374,0,1502,2.0,2.0,4,0,0,2,0,5,8215250,3
375,3,1568,2.0,1.0,4,0,1,1,0,0,6361850,1
376,2,918,1.0,1.0,3,0,2,1,0,5,10929300,0
377,1,1289,2.0,2.0,4,0,2,3,2,3,14634500,3
378,4,1941,3.0,2.0,5,0,1,1,2,5,12228420,4
379,3,1730,2.0,1.0,4,1,1,1,0,4,10494410,2
380,3,1513,2.0,1.0,4,1,2,0,2,0,12350640,3
381,3,1762,2.0,1.0,4,1,0,1,0,3,9071080,1
382,5,1970,2.0,1.0,5,1,0,3,0,3,12450910,0
383,3,1702,2.0,1.0,4,0,2,2,0,2,12225650,2
384,3,1726,2.0,1.0,4,0,0,2,0,1,6804640,0
385,2,1243,2.0,1.0,4,1,2,2,2,4,15495150,1
386,3,1550,2.0,1.0,4,1,2,0,2,0,12456680,0
387,4,1830,3.0,2.0,5,1,2,3,2,3,16312280,4
388,0,1435,2.0,2.0,4,1,0,1,2,5,9753250,2
389,3,1729,2.0,1.0,4,1,1,0,1,3,10629750,0
390,6,1572,1.0,1.0,4,1,2,3,2,5,20715860,4
391,2,1145,1.0,1.0,3,1,2,2,2,3,14297200,4
392,2,1043,1.0,1.0,3,1,1,0,0,3,8317410,2
393,0,1332,1.0,1.0,3,0,1,2,1,5,8261500,3
394,0,608,1.0,1.0,2,1,2,0,0,2,6206250,1
395,1,676,1.0,1.0,2,1,2,2,0,2,8400465,0
396,3,1685,2.0,1.0,4,1,1,1,2,3,11104320,4
397,1,658,1.0,1.0,2,0,1,1,2,1,6083885,4
398,2,1008,1.0,1.0,3,0,1,1,1,4,8836160,4
399,5,1924,2.0,1.0,5,0,1,0,0,5,13620040,1
400,4,2112,3.0,2.0,5,0,2,2,2,3,16756460,4
401,2,917,1.0,1.0,3,1,2,2,2,3,11889950,3
402,0,1353,2.0,2.0,4,1,1,0,0,4,8573875,2
403,5,1694,1.0,1.0,4,1,1,3,1,4,14054970,2
404,5,1625,1.0,1.0,4,1,2,3,0,3,18316110,4
405,5,1882,2.0,1.0,5,1,1,3,0,4,14761860,3
406,6,1924,2.0,1.0,5,1,2,3,0,5,22123260,3
407,2,894,1.0,1.0,3,0,2,1,0,5,10882400,2
408,0,904,1.0,1.0,3,1,1,2,0,4,6863000,3
409,1,1279,2.0,2.0,4,0,0,1,2,3,9792910,4
410,3,1547,2.0,1.0,4,0,1,0,2,5,10090590,2
411,0,626,1.0,1.0,2,0,0,3,1,3,5072750,1
412,6,1673,1.0,1.0,4,0,1,2,0,5,12156320,0
413,2,1296,2.0,1.0,4,1,1,1,2,3,10741020,0
414,4,2194,3.0,2.0,5,0,2,2,2,3,16805520,0
415,4,1678,2.0,1.0,4,0,2,1,1,4,13586120,0
416,2,702,1.0,1.0,2,1,0,0,0,5,8021300,4
417,1,1067,1.0,1.0,3,1,0,0,0,3,7960405,0
418,2,980,1.0,1.0,3,1,2,1,1,3,11847350,1
419,4,1989,3.0,2.0,5,1,0,1,1,5,11985600,4
420,2,1257,2.0,1.0,4,0,2,2,1,4,13788450,3
