,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
74,Adyar,1218,2007-06-13,51,2,2,4,Normal Sale,0,1977-06-20,Commercial,AllPub,NoAccess,I,12574850
75,Anna Nagar,1792,2011-02-21,41,1,1,4,Family,1,1990-02-26,House,ELO,Gravel,RM,13906270
76,Karapakkam,1378,2012-02-19,192,2,2,4,AdjLand,0,2003-02-21,Others,NoSewr,Gravel,RM,9917500
77,Karapakkam,898,2009-07-22,72,1,1,3,Partial,1,1980-07-29,Commercial,NoSewr,Paved,RH,8629750
78,Anna Nagar,1928,2011-08-18,148,2,1,5,Partial,0,2001-08-20,House,AllPub,NoAccess,RH,11667050
79,Chrompet,1233,2008-02-08,24,2,1,4,AbNormal,0,1975-11-08,House,NoSeWa,Gravel,RM,9817150
80,Velachery,1618,2007-07-30,100,2,1,4,AdjLand,1,1967-09-08,Others,NoSewr,Paved,C,9263050
81,Karapakkam,627,2011-12-08,49,1,1,2,Family,0,1983-08-19,House,NoSewr,Gravel,RM,6587500
82,Velachery,1563,2005-08-16,43,2,1,4,Family,0,1977-08-23,House,NoSeWa,Gravel,RM,9799360
83,Karapakkam,1693,2009-07-30,187,2,2,4,Normal Sale,1,2003-01-08,Commercial,NoSewr,Gravel,C,12801500
84,T Nagar,1522,2009-03-30,85,1,1,4,Partial,0,1966-10-04,Commercial,AllPub,Gravel,RL,17454510
85,Adyar,1090,2008-07-21,171,1,1,3,Partial,1,1980-07-28,Others,NoSeWa,Gravel,RH,9832420
86,Chrompet,1085,2014-01-19,149,1,1,3,AbNormal,1,2008-01-21,Commercial,NoSewr,Gravel,RL,14363500
87,T Nagar,1687,2009-08-13,73,1,1,4,AbNormal,0,1996-08-16,Others,NoSewr,Paved,RH,12476770
88,Adyar,692,2008-12-09,62,1,1,2,Normal Sale,1,1971-09-22,Commercial,AllPub,Paved,RH,10381355
89,T Nagar,1518,2008-03-07,145,1,1,4,Family,1,1971-07-13,Commercial,AllPub,Paved,RH,17600240
90,Adyar,1025,2008-10-05,125,1,1,3,Partial,0,1983-05-17,Commercial,NoSeWa,Paved,I,10934875
91,KK Nagar,2170,2010-07-20,121,3,2,5,Family,1,2002-07-22,House,NoSewr,Gravel,RL,12372160
92,Chrompet,969,2011-05-23,70,1,1,3,Family,1,1994-05-27,Commercial,ELO,NoAccess,RH,11248750
93,KK Nagar,1546,2008-09-04,129,2,1,4,AbNormal,0,1981-04-16,Commercial,AllPub,Gravel,RM,14241140
94,KK Nagar,1709,2009-10-24,6,2,1,4,AbNormal,1,1989-10-29,House,NoSeWa,Paved,RL,10160600
95,T Nagar,1659,2013-07-04,103,1,1,4,AdjLand,1,1995-12-04,Others,NoSeWa,NoAccess,RL,13539080
96,Chrompet,755,2015-09-01,8,1,1,2,Normal Sale,0,1982-01-17,Commercial,ELO,Gravel,RM,10727750
97,Adyar,1182,2007-10-24,50,1,1,3,Normal Sale,1,1990-10-28,House,AllPub,NoAccess,RL,9867055
98,Adyar,735,2012-06-03,67,1,1,2,AdjLand,0,1998-10-03,Commercial,NoSeWa,NoAccess,RH,9478710
99,Chrompet,1089,2013-04-19,0,1,1,3,Normal Sale,1,1981-04-27,House,ELO,Paved,RL,9050200
100,Velachery,1534,2005-04-01,6,2,1,4,Partial,1,1952-01-18,Others,ELO,Paved,C,7904210
101,Anna Nagar,1622,2007-07-26,147,1,1,4,Family,1,2002-07-27,House,ELO,Gravel,RL,13063450
102,KK Nagar,2198,2008-04-09,71,3,2,5,Partial,1,1987-10-09,Others,NoSewr,Gravel,RM,13584980
103,Chrompet,1293,2014-09-05,34,2,1,4,Normal Sale,0,1975-05-19,Commercial,ELO,NoAccess,RL,13116050
104,KK Nagar,1641,2009-10-17,178,2,1,4,Partial,0,1980-10-24,Others,AllPub,Gravel,RL,10012600
105,Velachery,1950,2005-03-09,185,3,2,5,AdjLand,1,1964-09-13,Others,NoSeWa,Paved,RL,12105920
106,Karapakkam,1245,2011-08-26,106,1,1,3,Partial,0,1983-02-09,Others,NoSeWa,Paved,A,4918375
107,Chrompet,905,2009-12-09,144,1,1,3,Family,0,1976-09-20,Others,ELO,Gravel,RH,7703200
108,KK Nagar,1496,2012-02-24,135,2,1,4,Family,0,1998-02-27,House,NoSewr,Gravel,RH,8569080
109,Velachery,1892,2005-11-22,38,3,2,5,AdjLand,1,1969-01-12,House,ELO,Gravel,RM,12146620
110,Velachery,1517,2010-05-07,40,2,1,4,Family,0,1999-08-07,Commercial,ELO,Paved,C,11671620
111,Adyar,1034,2009-05-30,73,1,1,3,AdjLand,1,1993-03-06,Others,ELO,Gravel,C,9256740
112,Velachery,1755,2009-06-06,142,2,1,4,Family,1,1974-06-15,Commercial,NoSewr,Gravel,I,14915900
113,Anna Nagar,1622,2013-04-20,79,1,1,4,AdjLand,1,2006-04-22,House,NoSeWa,Paved,RM,13547790
114,Chrompet,1092,2013-05-13,89,1,1,3,Normal Sale,0,2009-05-14,Others,AllPub,NoAccess,RH,8213040
115,Chrompet,821,2014-02-01,34,1,1,3,AdjLand,0,2006-04-01,House,NoSeWa,Paved,RH,7304000
116,KK Nagar,1694,2008-07-07,72,2,1,4,Family,0,1997-10-07,Others,NoSeWa,Gravel,RL,10390900
117,Anna Nagar,1809,2010-03-22,177,2,1,5,Family,0,1984-03-28,Commercial,AllPub,NoAccess,RL,19206870
118,Karapakkam,1401,2011-05-11,20,2,2,4,Partial,1,1997-08-11,Others,AllPub,Gravel,RL,9965375
119,Karapakkam,1470,2011-02-26,99,2,2,4,AbNormal,0,1986-04-03,Others,NoSewr,NoAccess,RH,7207000
120,Chrompet,798,2013-04-15,166,1,1,2,Partial,0,1976-04-24,Commercial,NoSewr,Paved,RH,9070550
121,Chrompet,764,2008-02-21,137,1,1,2,Partial,0,2000-02-23,House,ELO,NoAccess,RH,5670200
122,Chrompet,1135,2008-09-25,50,1,1,3,AbNormal,0,1985-01-10,Others,NoSewr,NoAccess,RM,9253200
123,Karapakkam,939,2009-07-23,74,1,1,3,AbNormal,0,1971-02-08,House,ELO,NoAccess,I,4294000
124,Karapakkam,1586,2009-08-27,59,2,2,4,Normal Sale,1,1981-03-09,Commercial,NoSewr,Gravel,RM,14316000
125,T Nagar,1973,2007-01-29,63,2,1,5,Family,1,1972-07-02,Commercial,AllPub,Gravel,RM,23307000
126,Chrompet,1023,2007-11-05,44,1,1,3,Partial,1,1990-05-15,House,AllPub,Paved,RM,9735150
127,Chrompet,884,2010-09-22,75,1,1,3,Normal Sale,0,2006-09-23,Commercial,NoSewr,NoAccess,RM,11336400
128,Anna Nagar,1640,2010-05-14,113,1,1,4,AdjLand,0,2005-05-15,Commercial,ELO,NoAccess,RH,17701600
129,Adyar,622,2007-06-20,60,1,1,2,Normal Sale,0,1987-06-25,Others,ELO,NoAccess,RL,6572900
130,Anna Nagar,1880,2009-11-23,90,2,1,5,Partial,1,1993-11-27,House,NoSeWa,NoAccess,RM,13423020
131,KK Nagar,2413,2010-03-13,166,4,2,6,AbNormal,0,2001-03-15,Others,NoSeWa,Paved,RM,13122040
132,T Nagar,1649,2009-02-28,169,1,1,4,AdjLand,0,1984-06-03,Commercial,AllPub,Gravel,RH,18939100
133,Velachery,1729,2008-08-02,144,2,1,4,Partial,1,1967-02-18,Commercial,NoSewr,Paved,A,12803570
134,T Nagar,1942,2014-12-20,10,2,1,5,Family,0,1977-12-29,House,NoSeWa,Gravel,RH,12330740
135,Chrompet,711,2014-12-05,116,1,1,2,AdjLand,1,2002-05-15,Others,NoSeWa,NoAccess,RL,8050270
136,Chrompet,885,2013-09-19,122,1,1,3,Family,0,1981-09-27,House,ELO,NoAccess,RM,7194600
137,KK Nagar,1688,2009-10-30,148,2,1,4,AbNormal,1,1994-03-11,House,NoSewr,Gravel,RM,11412700
138,Adyar,1236,2007-10-17,108,2,2,4,Family,0,1970-10-26,Commercial,ELO,Gravel,A,12035355
139,Karapakkam,926,2011-06-29,98,1,1,3,Family,0,1991-04-07,House,ELO,Gravel,RL,6877000
140,KK Nagar,1686,2009-04-30,57,2,1,4,AbNormal,0,1985-06-05,Others,NoSeWa,Paved,RM,10346400
141,Karapakkam,1344,2009-12-16,129,2,2,4,AdjLand,0,1959-12-29,Commercial,NoSewr,Gravel,RH,10809500
142,KK Nagar,1437,2012-02-04,104,2,1,4,Family,0,1989-08-04,Others,AllPub,Gravel,RM,10200600
143,Karapakkam,1430,2009-02-10,17,2,2,4,AbNormal,1,1999-05-10,Others,NoSewr,NoAccess,A,6635750
144,Adyar,1081,2008-10-26,85,1,1,3,Family,0,1978-03-11,House,AllPub,NoAccess,C,6190150
145,Karapakkam,1352,2010-09-02,1,2,2,4,Normal Sale,1,1983-02-16,House,ELO,Gravel,A,6507250
146,KK Nagar,1986,2009-05-19,109,3,2,5,Normal Sale,0,1979-05-27,House,AllPub,Gravel,RM,11350400
147,Anna Nagar,1758,2008-05-12,164,1,1,4,Partial,1,1966-12-16,Commercial,AllPub,NoAccess,RL,19285540
148,Karapakkam,607,2010-08-09,121,1,1,2,Normal Sale,0,1964-09-19,Others,NoSeWa,Gravel,RL,5856625
149,KK Nagar,2139,2008-10-24,136,3,2,5,Normal Sale,1,1987-10-30,Others,NoSewr,Paved,RL,12472000
150,KK Nagar,1488,2010-02-28,97,2,1,4,Partial,0,1983-07-03,Others,AllPub,Paved,RH,8441900
151,Velachery,1645,2006-01-27,96,2,1,4,Partial,0,1980-03-02,House,NoSeWa,NoAccess,RH,7579320
152,Chrompet,950,2009-07-12,177,1,1,3,Normal Sale,1,1983-12-14,Others,NoSeWa,Gravel,RL,9759000
153,Chrompet,928,2014-01-25,90,1,1,3,Partial,1,2010-01-26,Commercial,AllPub,Gravel,RH,12423800
154,Velachery,1693,2008-12-17,145,2,1,4,Normal Sale,1,1955-12-31,Commercial,NoSewr,Paved,RM,15495760
155,Velachery,1873,2007-02-12,0,3,2,5,Family,1,1986-07-12,Others,ELO,NoAccess,RL,11022270
156,Adyar,721,2010-04-11,145,1,1,2,Partial,0,2000-06-11,Others,NoSeWa,Paved,RL,7605550
157,Karapakkam,1190,2011-03-11,37,1,1,3,Family,1,1982-10-11,House,NoSewr,Gravel,RH,7967750
158,KK Nagar,1593,2011-04-17,9,2,1,4,Partial,0,1994-04-21,Others,AllPub,Paved,RH,8946800
159,Chrompet,786,2010-02-22,181,1,1,2,AbNormal,1,1998-02-25,Others,ELO,Gravel,RL,9244820
160,Chrompet,1195,2011-06-12,93,1,1,3,AdjLand,0,1992-10-12,Others,NoSeWa,Paved,RL,9821600
161,Velachery,1824,2009-03-04,187,3,2,5,Normal Sale,0,1976-11-04,House,NoSewr,Paved,I,8549060
162,KK Nagar,1906,2008-03-26,81,3,2,5,AbNormal,1,2001-03-28,Commercial,NoSeWa,Paved,RH,15852740
163,Adyar,656,2010-09-24,20,1,1,2,AbNormal,0,2001-09-26,Commercial,AllPub,Paved,I,8757635
164,Chrompet,727,2007-05-28,84,1,1,2,AbNormal,0,1991-01-06,Others,ELO,Gravel,RM,8415990
165,Adyar,931,2010-06-24,37,1,1,3,Family,1,1977-02-07,Others,ELO,Paved,RM,9935595
166,Velachery,1898,2007-12-01,108,3,2,5,AdjLand,1,1969-01-21,Commercial,ELO,NoAccess,RM,16617860
167,Anna Nagar,1698,2007-06-27,15,1,1,4,Family,0,1967-07-07,House,NoSeWa,Gravel,RM,12412050
168,T Nagar,1926,2007-05-27,193,2,1,5,AdjLand,1,1990-05-31,Commercial,NoSewr,NoAccess,RM,22630540
169,Karapakkam,1481,2010-12-17,144,2,2,4,Partial,1,1972-12-26,Commercial,AllPub,Paved,A,9901500
170,Anna Nagar,1506,2007-06-09,122,1,1,4,Family,0,1974-09-14,House,ELO,NoAccess,RM,10449910
171,Chrompet,1020,2014-01-11,95,1,1,3,Family,0,1990-07-11,House,NoSeWa,NoAccess,RM,7948600
172,Chrompet,889,2008-10-21,196,1,1,3,AbNormal,0,1987-10-27,Others,ELO,Gravel,RM,9098680
173,Chrompet,1015,2012-11-01,147,1,1,3,Family,1,1977-01-19,House,AllPub,Paved,RH,8342850
174,T Nagar,1682,2011-04-03,78,1,1,4,AbNormal,0,1976-12-03,Commercial,AllPub,Gravel,RH,18662350
175,Chrompet,869,2013-01-05,39,1,1,3,Family,0,1995-06-05,Others,NoSewr,NoAccess,RM,8172630
176,Karapakkam,1445,2012-03-29,20,2,2,4,Family,0,1988-04-04,House,NoSeWa,NoAccess,I,5856500
177,Anna Nagar,1919,2014-06-25,178,2,1,5,Partial,1,2001-06-28,House,NoSeWa,Gravel,RM,14704160
178,Adyar,1243,2011-07-17,141,2,2,4,Normal Sale,1,1975-07-26,Commercial,NoSeWa,Paved,C,13360440
179,Karapakkam,857,2010-05-09,158,1,1,2,Normal Sale,0,1993-09-09,House,ELO,Paved,I,4928250
180,Karapakkam,1055,2010-03-04,174,1,1,3,AdjLand,1,1962-04-15,Others,NoSeWa,Gravel,I,7315125
181,KK Nagar,1778,2011-10-07,94,3,2,5,Family,0,2003-12-07,Others,NoSewr,Gravel,RL,10998320
182,Karapakkam,851,2011-06-15,124,1,1,2,AdjLand,0,1970-06-25,Others,ELO,Paved,A,3936375
183,Chrompet,1021,2008-06-03,82,1,1,3,Partial,1,2004-07-03,Others,NoSewr,NoAccess,RL,9201770
184,KK Nagar,2203,2010-04-09,76,3,2,5,AbNormal,1,1988-09-09,Commercial,NoSewr,Paved,RL,17891240
185,Karapakkam,613,2010-01-06,81,1,1,2,Family,0,1980-08-06,Commercial,NoSewr,NoAccess,I,5144500
186,Adyar,738,2007-02-09,69,1,1,2,Partial,0,1989-06-09,Commercial,NoSewr,NoAccess,I,8312670
187,Karapakkam,1489,2011-03-01,177,2,2,4,AdjLand,0,1982-10-01,House,ELO,Gravel,RH,8007250
188,Karapakkam,795,2009-11-10,73,1,1,2,AbNormal,1,2000-10-13,House,NoSewr,Gravel,RM,8479250
189,Velachery,1909,2012-11-02,11,3,2,5,Family,1,1979-02-19,Others,AllPub,Gravel,A,10129160
190,Chrompet,1252,2011-12-10,190,2,1,4,Family,0,1999-10-15,House,AllPub,NoAccess,RM,9482200
191,Karapakkam,1077,2011-04-24,144,1,1,3,AbNormal,0,1978-02-05,Commercial,ELO,Paved,RM,9846750
192,KK Nagar,1524,2008-11-04,73,2,1,4,Normal Sale,0,1981-04-18,Others,NoSewr,Paved,RH,8675820
193,Chrompet,1049,2008-06-16,36,1,1,3,Partial,1,1997-06-19,House,ELO,Gravel,RM,10262450
194,Velachery,1780,2008-03-29,194,2,1,4,AbNormal,0,1953-12-04,Others,AllPub,Gravel,C,8671050
195,Chrompet,946,2008-10-18,14,1,1,3,AdjLand,0,1991-10-23,Commercial,ELO,NoAccess,RL,11165550
196,Chrompet,906,2008-11-18,116,1,1,3,Partial,1,1976-11-26,House,NoSewr,Gravel,RM,9464800
197,KK Nagar,2344,2010-11-25,71,4,2,6,AbNormal,0,1986-01-12,Commercial,NoSeWa,Gravel,RM,18849880
198,Adyar,929,2009-08-18,76,1,1,3,AdjLand,1,1994-08-22,Others,NoSeWa,Paved,RH,9480425
199,Anna Nagar,1843,2009-02-08,158,2,1,5,AdjLand,0,1994-06-08,House,ELO,NoAccess,RL,12264750
200,Anna Nagar,1918,2009-02-05,187,2,1,5,Partial,1,1974-11-05,Commercial,AllPub,Gravel,RL,21875050
201,KK Nagar,1507,2008-10-11,54,2,1,4,Normal Sale,1,1989-11-15,Commercial,AllPub,Paved,RH,13538580
202,KK Nagar,1499,2011-04-13,89,2,1,4,Family,0,2005-04-14,House,AllPub,Gravel,RH,8876320
203,KK Nagar,1526,2012-04-01,64,2,1,4,Normal Sale,1,1990-09-01,Commercial,AllPub,Paved,RH,13645040
204,Anna Nagar,1855,2009-01-26,82,2,1,5,AbNormal,1,1999-01-29,Commercial,NoSewr,Paved,RH,20996200
205,Karapakkam,1627,2011-05-25,39,2,2,4,Normal Sale,1,1981-01-06,Others,ELO,Paved,RH,9071125
206,Velachery,1846,2009-11-12,28,3,2,5,AbNormal,0,1970-12-21,House,AllPub,Gravel,RM,10815830
207,KK Nagar,2019,2010-06-10,65,3,2,5,AbNormal,1,1994-10-10,Others,NoSewr,Paved,RM,12802500
208,Karapakkam,1578,2011-04-18,153,2,2,4,Normal Sale,1,1998-04-21,Others,AllPub,Gravel,I,9532500
209,Velachery,1780,2008-05-16,115,2,1,4,Family,1,1983-05-23,Commercial,NoSeWa,NoAccess,C,13346700
210,Karapakkam,662,2011-10-04,148,1,1,2,Partial,0,1973-04-19,Commercial,NoSeWa,NoAccess,C,4356500
211,Chrompet,1005,2010-06-01,17,1,1,3,Family,0,1984-01-13,Commercial,NoSewr,Gravel,RL,12257100
212,Karapakkam,839,2010-09-27,102,1,1,2,Partial,0,1990-02-10,House,NoSeWa,Paved,C,4100500
213,Anna Nagar,1698,2008-02-07,76,1,1,4,Partial,0,1974-11-07,House,AllPub,NoAccess,RM,11527430
214,Adyar,878,2008-12-05,16,1,1,3,Partial,1,1989-05-17,House,NoSewr,Paved,A,6452785
215,Chrompet,835,2008-09-07,77,1,1,3,Partial,1,1971-07-19,House,ELO,Paved,RM,8434750
216,Chrompet,911,2011-04-24,84,1,1,3,Partial,1,1978-02-05,Others,ELO,NoAccess,RH,7427820
217,Velachery,1796,2006-10-24,176,2,1,4,AdjLand,1,1956-05-11,House,ELO,NoAccess,RH,9105350
218,Karapakkam,1004,2009-10-25,182,1,1,3,AdjLand,0,1981-01-11,Others,ELO,NoAccess,C,4721500
219,Anna Nagar,1694,2009-12-16,86,1,1,4,Normal Sale,0,1982-12-23,Others,NoSeWa,Paved,RL,12575010
220,Karapakkam,1244,2011-06-18,50,1,1,3,AbNormal,1,1980-06-25,Others,AllPub,Gravel,I,7952750
221,Karapakkam,588,2010-02-21,163,1,1,2,Partial,0,1986-02-27,Others,AllPub,Paved,RL,5705500
222,KK Nagar,2342,2011-02-04,69,4,2,6,AdjLand,1,2004-03-04,House,NoSewr,Paved,RL,12898740
223,Velachery,1835,2007-01-09,88,3,2,5,Normal Sale,0,1978-08-09,Others,AllPub,Paved,RL,10722580
224,Anna Nagar,1977,2007-12-17,84,2,1,5,Partial,1,1964-12-27,House,AllPub,Gravel,RL,14102960
225,KK Nagar,1961,2011-06-01,104,3,2,5,AbNormal,1,1996-10-01,Commercial,NoSeWa,Gravel,RM,17612900
226,Velachery,1517,2004-04-24,82,2,1,4,Normal Sale,1,1992-04-27,House,NoSewr,NoAccess,A,7146890
